product_name,sku,category,base_price,current_price,cost_price,stock_quantity,description
Leather Office Desk Organizer,FUR-002,Furniture,49.99,39.99,22.00,178,Handcrafted leather desk organizer with multiple compartments
Standing Desk Mat Anti-Fatigue,FUR-003,Furniture,59.99,49.99,28.00,145,Ergonomic anti-fatigue mat for standing desk users
Bookshelf 5-Tier Modern,FUR-004,Furniture,129.99,109.99,62.00,56,Modern 5-tier bookshelf with industrial steel frame
LED Strip Lights Smart,ELC-010,Electronics,24.99,19.99,9.00,412,Smart LED strip lights with app control and music sync
Portable Power Bank 20000mAh,ELC-011,Electronics,49.99,39.99,21.00,234,High-capacity power bank with fast charging and dual ports
USB-C Hub 7-in-1,ELC-012,Electronics,39.99,34.99,17.00,298,7-in-1 USB-C hub with HDMI 4K and SD card reader
Silk Pillowcase Set,HOM-002,Home & Kitchen,34.99,29.99,14.00,356,Luxurious mulberry silk pillowcase set with zipper closure
Scented Soy Candle Collection,HOM-003,Home & Kitchen,29.99,24.99,11.00,423,Hand-poured soy candle set with natural essential oils
Microfiber Cleaning Cloth Set,HOM-004,Home & Kitchen,19.99,14.99,6.00,567,Ultra-soft microfiber cleaning cloths for streak-free cleaning
Weighted Blanket 15lbs,HOM-005,Home & Kitchen,89.99,79.99,42.00,89,Glass bead weighted blanket with breathable cotton cover
Reusable Silicone Food Lids,HOM-006,Home & Kitchen,14.99,12.99,5.00,634,BPA-free silicone food storage lids set of 6 sizes
Stainless Steel Lunch Box,HOM-007,Home & Kitchen,29.99,24.99,12.00,234,Leak-proof stainless steel lunch box with divided compartments
