name,sku,category,base_price,current_price,cost_price,stock_quantity,revenue,status,image_url,description
Leather Office Desk Organizer,FUR-002,Furniture,49.99,39.99,22.0,178,0,active,,Handcrafted leather desk organizer with multiple compartments
Stainless Steel Lunch Box,HOM-007,Home & Kitchen,29.99,24.99,12.0,234,0,active,,Leak-proof stainless steel lunch box with divided compartments
Reusable Silicone Food Lids,HOM-006,Home & Kitchen,14.99,12.99,5.0,634,0,active,,BPA-free silicone food storage lids set of 6 sizes
Weighted Blanket 15lbs,HOM-005,Home & Kitchen,89.99,79.99,42.0,89,0,active,,Glass bead weighted blanket with breathable cotton cover
Microfiber Cleaning Cloth Set,HOM-004,Home & Kitchen,19.99,14.99,6.0,567,0,active,,Ultra-soft microfiber cleaning cloths for streak-free cleaning
Scented Soy Candle Collection,HOM-003,Home & Kitchen,29.99,24.99,11.0,423,0,active,,Hand-poured soy candle set with natural essential oils
Silk Pillowcase Set,HOM-002,Home & Kitchen,34.99,29.99,14.0,356,0,active,,Luxurious mulberry silk pillowcase set with zipper closure
USB-C Hub 7-in-1,ELC-012,Electronics,39.99,34.99,17.0,298,0,active,,7-in-1 USB-C hub with HDMI 4K and SD card reader
Portable Power Bank 20000mAh,ELC-011,Electronics,49.99,39.99,21.0,234,0,active,,High-capacity power bank with fast charging and dual ports
LED Strip Lights Smart,ELC-010,Electronics,24.99,19.99,9.0,412,0,active,,Smart LED strip lights with app control and music sync
Bookshelf 5-Tier Modern,FUR-004,Furniture,129.99,109.99,62.0,56,0,active,,Modern 5-tier bookshelf with industrial steel frame
Standing Desk Mat Anti-Fatigue,FUR-003,Furniture,59.99,49.99,28.0,145,0,active,,Ergonomic anti-fatigue mat for standing desk users
Screen Cleaner Kit,SKU-EC-013,Electronics,14.99,14.99,5.0,900,13491.0,active,,Professional screen cleaning kit
Wireless Mouse,SKU-EC-001,Electronics,34.99,34.99,14.0,500,17495.0,active,,Ergonomic wireless mouse with USB receiver
Mechanical Keyboard,SKU-EC-002,Electronics,89.99,89.99,38.0,320,28796.8,active,,RGB mechanical gaming keyboard
USB-C Hub,SKU-EC-003,Electronics,49.99,49.99,20.0,450,22495.5,active,,7-in-1 USB-C hub with HDMI
Monitor Stand,SKU-EC-004,Office,59.99,59.99,25.0,280,16797.2,active,,Dual monitor adjustable stand
Desk Organizer,SKU-EC-005,Office,24.99,24.99,10.0,600,14994.0,active,,Bamboo desk organizer with drawers
Webcam Cover,SKU-EC-006,Electronics,9.99,9.99,3.5,1200,11988.0,active,,Ultra-thin webcam privacy cover
