product_name,sku,category,base_price,current_price,cost_price,stock_quantity,description
4K Ultra HD Smart TV 55",ELC-005,Electronics,699.99,649.99,420.00,45,55-inch 4K UHD Smart TV with HDR10+ and Dolby Atmos
Wireless Charging Pad Fast,ELC-006,Electronics,29.99,24.99,12.00,450,15W fast wireless charger compatible with all Qi devices
Smart Home Security Camera,ELC-007,Electronics,89.99,79.99,45.00,189,1080p wireless security camera with night vision and two-way audio
Portable Bluetooth Earbuds,ELC-008,Electronics,59.99,49.99,28.00,267,True wireless earbuds with noise isolation and 24hr battery life
Electric Standing Desk,ELC-009,Electronics,549.99,499.99,310.00,23,Height-adjustable electric standing desk with memory presets
Men's Denim Jacket Classic,APP-003,Clothing,89.99,74.99,38.00,134,Classic fit denim jacket with button front and chest pockets
Women's Running Leggings,APP-004,Clothing,59.99,49.99,24.00,278,High-waist compression leggings with moisture-wicking fabric
Cashmere Blend Sweater,APP-005,Clothing,129.99,99.99,55.00,89,Luxurious cashmere blend sweater with ribbed cuffs and hem
Stainless Steel Cookware Set,KIT-004,Home & Kitchen,299.99,249.99,155.00,34,10-piece stainless steel cookware set with tempered glass lids
Smart Coffee Scale,KIT-005,Home & Kitchen,49.99,39.99,20.00,156,Precision coffee scale with 0.1g accuracy and built-in timer
Cast Iron Dutch Oven,KIT-006,Home & Kitchen,79.99,69.99,38.00,89,5.5qt enameled cast iron dutch oven for slow cooking and baking
Camping Tent 4-Person,SPO-002,Sports & Outdoors,199.99,169.99,95.00,45,Waterproof 4-person camping tent with easy-setup poles
Insulated Hiking Boots,SPO-003,Sports & Outdoors,149.99,129.99,72.00,67,Waterproof insulated hiking boots with Vibram soles
Resistance Bands Set,SPO-004,Sports & Outdoors,34.99,29.99,13.00,345,Set of 5 resistance bands with different tension levels
